|  9. 2f 9 (orembre 190f | Mbatin | foir  |
| --- | --- | --- |
|  Jauteur Poaromintrigue |  |   |
|  Direction du vent |  |   |
|  Bace |  |   |
|  15 | 1 |   |
|  1 | 1 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
|  2 | 2 |   |
