|  V: 11 décembre - 1907 | Mbation | Pair  |
| --- | --- | --- |
|  Hauteur |  |   |
|  Direction du vent | 260.0 | 2/8.0  |
|  10.00 | 2.8 | 2.10  |
|  3.00 | 3.0 | 3.0  |
|  10 | 10 | 10  |
|  10 | 10 | 10  |
|  1.8 | 1.8 | 1.0  |
|  9.4 | 9.4 | 1.8  |
|  18.0 | 18.0 | 18.9  |
|  1.0 | 1.0 |   |
|  1.4 | 1.4 |   |
|  5 | 5 | 5  |
|  1907 | Mbation | Pair  |
|  Hauteur |  |   |
|  Direction du vent | 2/9.3 | 260.4  |
|  10.00 | 2.0 | 3.0  |
|  3.00 | 3.0 | 3.0  |
|  3 | 3 | 3  |
|  3 | 3 | 3  |
|  10.00 | 10.0 | 10.0  |
|  16.3 | 16.3 | 16.3  |
|  8.0 | 8.0 | 1.4  |
|  1.4 | 1.4 | 1.4  |
|  10.00 | 10.0 | 10.0  |
|  16.3 | 16.3 | 16.4  |
|  1.0 | 1.0 | 1.4  |
