|  V. 15 Janvier - 1908 | Nkatin | Soir  |
| --- | --- | --- |
|  1 Janvier - 1908 | 193.2 | 192.1  |
|  1 Janvier - 1908 | 193.1 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
|  1 Janvier - 1908 | 193.0 | 192.0  |
