|  7. 23 Janvier. 1908 | Matin | Soir  |
| --- | --- | --- |
|  Hauteur Maronotrique | 22.4 | 20.4  |
|  Direction du tout |  | 5.58  |
|  20.00 | 0 | 1  |
|  0 | 0 | 0  |
|  0 | 0 | 0  |
|  0 | 0 | 0  |
|  8. 3 |  | 12.4  |
|  22.2 |  | 81.4  |
|  1 fort |  | 1 faible  |
|  1 fort |  | 624.0  |
|  12.0 |  | 624.0  |
|  18.0 |  | 18.0  |
|  7. 24 Janvier. 1908 | Matin | Soir  |
|  Hauteur Maronotrique | 22.8 |   |
|  Direction du tout |  |   |
|  Force |  |   |
|  17. 24 Janvier. 1908 |  |   |
|  17. 24 Janvier. 1908 |  |   |
|  Direction des mays |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
|  20.00 |  |   |
