# Date. 30 Octobre. 1900.

|  9th Moutin | 3rd Soir  |
| --- | --- |
|  701,7 | 701,5  |
|  N° 4 | N.N.E  |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
|  10 Sept. 1900 |   |
