|  V. 11 Novembre - 1902 | Obatin | Soir  |
| --- | --- | --- |
|  Hauteur Maronnetrique | 1/2.5 | 1/8.4  |
|  Direction du vent | Overt | 2/8.4  |
|  Force | 2 fort | 4 forts  |
|  1 Reg. O. (Force) | 1 | 10  |
|  2 Reg. O. (Force) | 2 | 10  |
|  2 | Overt | 1.0  |
|  Direction des mages |  |   |
|  1 16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 28.8  |
|  16.4 | 1 fort | 2  |
|  16.4 | 1028.4 | 1028.4  |
|  16.4 | 16.4 | 16.4  |

|  V. 12 Novembre - 1902 | Obatin | Soir  |
| --- | --- | --- |
|  Hauteur Maronnetrique | 168.4 | 168.4  |
|  Direction du vent | 1.1.8 | 1.8  |
|  Force | 2 fort | 2  |
|  1 16.1 | 1 | 10  |
|  2 Reg. O. (Force) | 1 | 10  |
|  1 Reg. O. (Force) | 1 | 10  |
|  2 16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
|  16.1 | 16.1 | 16.1  |
