# Variation Qu niveau 9c la mer a 23 Septembre 1900 (Suite) (Jur. 3c la minille lune)

|  Heures | Hauteur | Heures | Hauteur | Heures | Hauteur | Heures | Hauteur | Heures | Hauteur  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  4h00 m. | 0,31 | 9h42 m. | 0,30 | 10h24 m. | 0,309 | 11h24 m. | 0,24 | 12h48 m. | 0,251 |
|  4h18 m. | 0,302 | 9h44 m. | 0,306 | 10h26 m. | 0,306 | 11h26 m. | 0,243 | 12h50 m. | 0,248 |
|  4h30 m. | 0,30 | 9h46 m. | 0,309 | 10h28 m. | 0,309 | 11h28 m. | 0,246 | 12h52 m. | 0,243 |
|  4h32 m. | 0,304 | 9h48 m. | 0,31 | 10h30 m. | 0,31 | 11h30 m. | 0,248 | 12h54 m. | 0,243 |
|  4h34 m. | 0,30 | 9h50 m. | 0,312 | 10h32 m. | 0,313 | 11h32 m. | 0,253 | 12h56 m. | 0,248 |
|  4h36 m. | 0,302 | 9h52 m. | 0,314 | 10h34 m. | 0,314 | 11h34 m. | 0,255 | 12h58 m. | 0,253 |
|  4h38 m. | 0,302 | 9h54 m. | 0,316 | 10h36 m. | 0,318 | 11h36 m. | 0,246 | 13h00 m. | 0,251 |
|  4h40 m. | 0,304 | 9h56 m. | 0,316 | 10h38 m. | 0,318 | 11h38 m. | 0,226 | 13h02 m. | 0,248 |
|  4h42 m. | 0,304 | 9h58 m. | 0,316 | 10h40 m. | 0,318 | 11h40 m. | 0,217 | 13h04 m. | 0,248 |
|  4h44 m. | 0,304 | 10h00 m. | 0,316 | 10h42 m. | 0,316 | 11h42 m. | 0,219 | 13h06 m. | 0,243 |
|  4h46 m. | 0,304 | 10h02 m. | 0,316 | 10h44 m. | 0,316 | 11h44 m. | 0,226 | 13h08 m. | 0,242 |
|  4h48 m. | 0,304 | 10h04 m. | 0,314 | 10h46 m. | 0,316 | 11h46 m. | 0,229 | 13h10 m. | 0,248 |
|  4h50 m. | 0,302 | 10h06 m. | 0,314 | 10h48 m. | 0,316 | 11h48 m. | 0,238 | 13h12 m. | 0,261 |
|  4h52 m. | 0,304 | 10h08 m. | 0,314 | 10h50 m. | 0,314 | 11h50 m. | 0,253 | 13h14 m. | 0,275 |
|  4h54 m. | 0,304 | 10h10 m. | 0,313 | 10h52 m. | 0,314 | 11h52 m. | 0,265 | 13h16 m. | 0,29 |
|  4h56 m. | 0,306 | 10h12 m. | 0,312 | 10h54 m. | 0,314 | 11h54 m. | 0,276 | 13h18 m. | 0,30 |
|  4h58 m. | 0,308 | 10h14 m. | 0,311 | 10h56 m. | 0,313 | 11h56 m. | 0,287 | 13h20 m. | 0,305 |
