book,page,file_path,cer,wer,substitutions,deletions,insertions,ref_length,hyp_length,ref_word_count,hyp_word_count,char_errors,word_errors,char_accuracy,word_accuracy,ref_text_length,hyp_text_length
05_OOB_04_log,05_OOB_04_051,05_OOB_04_log/05_OOB_04_051.txt,0.3793103448275862,0.5294117647058824,16,13,4,87,78,17,16,33,9.0,0.6206896551724138,0.47058823529411764,87,78
05_OOB_04_log,05_OOB_04_132,05_OOB_04_log/05_OOB_04_132.txt,0.2777777777777778,0.6521739130434783,47,35,13,342,320,46,40,95,30.0,0.7222222222222222,0.34782608695652173,342,320
05_OOB_04_log,05_OOB_04_084,05_OOB_04_log/05_OOB_04_084.txt,0.45,0.6,13,1,4,40,43,10,9,18,6.0,0.55,0.4,40,43
05_OOB_04_log,05_OOB_04_127,05_OOB_04_log/05_OOB_04_127.txt,0.22905027932960895,0.5714285714285714,30,11,0,179,168,28,26,41,16.0,0.770949720670391,0.4285714285714286,179,168
05_OOB_04_log,05_OOB_04_042,05_OOB_04_log/05_OOB_04_042.txt,0.33613445378151263,0.5714285714285714,28,10,2,119,111,21,17,40,12.0,0.6638655462184874,0.4285714285714286,119,111
05_OOB_04_log,05_OOB_04_136,05_OOB_04_log/05_OOB_04_136.txt,0.3125,0.4666666666666667,10,3,12,80,89,15,15,25,7.0,0.6875,0.5333333333333333,80,89
05_OOB_04_log,05_OOB_04_134,05_OOB_04_log/05_OOB_04_134.txt,0.0784313725490196,0.29411764705882354,4,2,2,102,102,17,16,8,5.0,0.9215686274509804,0.7058823529411764,102,102
05_OOB_04_log,05_OOB_04_041,05_OOB_04_log/05_OOB_04_041.txt,0.23529411764705882,0.2222222222222222,1,0,11,51,62,9,9,12,2.0,0.7647058823529411,0.7777777777777778,51,62
05_OOB_04_log,05_OOB_04_121,05_OOB_04_log/05_OOB_04_121.txt,0.28448275862068967,0.5263157894736842,20,13,0,116,103,19,18,33,10.0,0.7155172413793103,0.4736842105263158,116,103
05_OOB_04_log,05_OOB_04_135,05_OOB_04_log/05_OOB_04_135.txt,0.22142857142857142,0.55,14,4,13,140,149,20,21,31,11.0,0.7785714285714286,0.44999999999999996,140,149
05_OOB_04_log,05_OOB_04_018,05_OOB_04_log/05_OOB_04_018.txt,0.40594059405940597,0.8333333333333334,31,6,4,101,99,18,16,41,15.0,0.594059405940594,0.16666666666666663,101,99
05_OOB_04_log,05_OOB_04_140,05_OOB_04_log/05_OOB_04_140.txt,0.15040650406504066,0.4166666666666667,26,11,0,246,235,36,34,37,15.0,0.8495934959349594,0.5833333333333333,246,235
05_OOB_04_log,05_OOB_04_141,05_OOB_04_log/05_OOB_04_141.txt,0.1794871794871795,0.21428571428571427,4,0,10,78,88,14,13,14,3.0,0.8205128205128205,0.7857142857142857,78,88
05_OOB_04_log,05_OOB_04_143,05_OOB_04_log/05_OOB_04_143.txt,0.08653846153846154,0.15789473684210525,23,11,2,416,407,76,75,36,12.0,0.9134615384615384,0.8421052631578947,416,407
05_OOB_04_log,05_OOB_04_011,05_OOB_04_log/05_OOB_04_011.txt,0.6991150442477876,1.0,44,5,30,113,138,19,20,79,19.0,0.3008849557522124,0.0,113,138
05_OOB_04_log,05_OOB_04_110,05_OOB_04_log/05_OOB_04_110.txt,0.2736842105263158,0.35294117647058826,12,4,10,95,101,17,15,26,6.0,0.7263157894736842,0.6470588235294117,95,101
05_OOB_04_log,05_OOB_04_105,05_OOB_04_log/05_OOB_04_105.txt,0.45454545454545453,0.5625,18,5,17,88,100,16,15,40,9.0,0.5454545454545454,0.4375,88,100
05_OOB_05_log,05_OOB_05_108,05_OOB_05_log/05_OOB_05_108.txt,0.19148936170212766,0.33004926108374383,123,81,30,1222,1171,203,195,234,67.0,0.8085106382978724,0.6699507389162562,1222,1171
05_OOB_05_log,05_OOB_05_120,05_OOB_05_log/05_OOB_05_120.txt,0.09902370990237098,0.1554054054054054,28,41,2,717,678,148,140,71,23.0,0.900976290097629,0.8445945945945946,717,678
05_OOB_05_log,05_OOB_05_096,05_OOB_05_log/05_OOB_05_096.txt,0.17517241379310344,0.3333333333333333,66,52,9,725,682,138,121,127,46.0,0.8248275862068966,0.6666666666666667,725,682
05_OOB_05_log,05_OOB_05_109,05_OOB_05_log/05_OOB_05_109.txt,0.4357142857142857,0.5925925925925926,32,22,7,140,125,27,23,61,16.0,0.5642857142857143,0.40740740740740744,140,125
05_OOB_05_log,05_OOB_05_137,05_OOB_05_log/05_OOB_05_137.txt,1.0,0.9206349206349206,33,1,439,313,751,63,99,473,58.0,0.0,0.07936507936507942,313,751
05_OOB_05_log,05_OOB_05_091,05_OOB_05_log/05_OOB_05_091.txt,0.156957928802589,0.2440944881889764,61,11,25,618,632,127,122,97,31.0,0.843042071197411,0.7559055118110236,618,632
05_OOB_05_log,05_OOB_05_119,05_OOB_05_log/05_OOB_05_119.txt,0.19295774647887323,0.36923076923076925,35,32,70,710,748,130,127,137,48.0,0.8070422535211268,0.6307692307692307,710,748
05_OOB_05_log,05_OOB_05_246,05_OOB_05_log/05_OOB_05_246.txt,0.13232104121475055,0.21428571428571427,19,19,23,461,465,84,81,61,18.0,0.8676789587852495,0.7857142857142857,461,465
05_OOB_05_log,05_OOB_05_143,05_OOB_05_log/05_OOB_05_143.txt,0.32441471571906355,0.3508771929824561,15,12,70,299,357,57,63,97,20.0,0.6755852842809364,0.6491228070175439,299,357
05_OOB_05_log,05_OOB_05_037,05_OOB_05_log/05_OOB_05_037.txt,0.2932098765432099,0.4375,18,2,75,324,397,64,68,95,28.0,0.7067901234567902,0.5625,324,397
05_OOB_05_log,05_OOB_05_181,05_OOB_05_log/05_OOB_05_181.txt,0.2743682310469314,0.45714285714285713,81,50,21,554,525,105,104,152,48.0,0.7256317689530686,0.5428571428571429,554,525
05_OOB_05_log,05_OOB_05_197,05_OOB_05_log/05_OOB_05_197.txt,0.3132530120481928,0.4732824427480916,63,131,14,664,547,131,106,208,62.0,0.6867469879518072,0.5267175572519084,664,547
